id,documentNumber,manifestDocumentNumber,kind,originalName,title,status,parseError,needsAppendix,itemsCount,measuresCount,parentDocumentNumber,inManifest,classification,createdAt
92,240/93/2301,240/93/2301,LETTER,240 93 2301.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,21,0,,true,canonical,2026-06-23T12:50:45.271Z
93,240/93/2367,240/93/2367,LETTER,240 93 2367.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,23,3,,true,canonical,2026-06-23T12:50:45.376Z
94,240/93/2383,240/93/2383,LETTER,240 93 2383.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,25,0,,true,canonical,2026-06-23T12:50:45.487Z
269,240/93/2383,240/93/2383,APPENDIX,Приложение 2383 Обласов.docx,,IMPORTED,,false,1,0,240/93/2383,true,canonical,2026-06-23T12:51:00.288Z
95,240/93/2386,240/93/2386,LETTER,240 93 2386.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,1,1,,true,canonical,2026-06-23T12:50:45.604Z
96,240/93/2387,240/93/2387,LETTER,240 93 2387.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,1,0,,true,canonical,2026-06-23T12:50:45.643Z
97,240/93/2433,240/93/2433,LETTER,240 93 2433.docx,,IMPORTED,,false,1,1,,true,canonical,2026-06-23T12:50:45.682Z
98,240/93/2444,240/93/2444,LETTER,240 93 2444.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,21,0,,true,canonical,2026-06-23T12:50:45.724Z
270,240/93/2444,240/93/2444,APPENDIX,Приложение 240 93 2444 Обласов.docx,,IMPORTED,,false,1,0,240/93/2444,true,canonical,2026-06-23T12:51:00.330Z
99,240/93/2445,240/93/2445,LETTER,240 93 2445.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,9,8,,true,canonical,2026-06-23T12:50:45.837Z
100,240/93/2446,240/93/2446,LETTER,240 93 2446.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,9,9,,true,canonical,2026-06-23T12:50:45.908Z
101,240/93/2476,240/93/2476,LETTER,240 93 2476.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,0,,true,canonical,2026-06-23T12:50:45.979Z
271,240/93/2476,240/93/2476,APPENDIX,Приложение 2476.docx,,IMPORTED,,false,1,0,240/93/2476,true,canonical,2026-06-23T12:51:00.373Z
102,240/93/2505,240/93/2505,LETTER,240 93 2505.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,4,0,,true,canonical,2026-06-23T12:50:46.080Z
103,240/93/2545,240/93/2545,LETTER,240 93 2545.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,26,0,,true,canonical,2026-06-23T12:50:46.135Z
272,240/93/2545,240/93/2545,APPENDIX,Приложение 2545.docx,,IMPORTED,,false,1,0,240/93/2545,true,canonical,2026-06-23T12:51:00.422Z
104,240/93/2565,240/93/2565,LETTER,240 93 2565.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,0,,true,canonical,2026-06-23T12:50:46.253Z
273,240/93/2565,240/93/2565,APPENDIX,Приложение — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/2565,true,canonical,2026-06-23T12:51:00.468Z
105,240/93/2566,240/93/2566,LETTER,240 93 2566.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,3,0,,true,canonical,2026-06-23T12:50:46.347Z
106,240/93/2616,240/93/2616,LETTER,240 93 2616.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,16,,true,canonical,2026-06-23T12:50:46.394Z
107,240/93/2623,240/93/2623,LETTER,240 93 2623.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,0,,true,canonical,2026-06-23T12:50:46.483Z
274,240/93/2623,240/93/2623,APPENDIX,Приложение 2623 ДКИТИ.docx,,IMPORTED,,false,1,0,240/93/2623,true,canonical,2026-06-23T12:51:00.516Z
108,240/93/265,240/93/265,LETTER,240 93 265.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,5,,true,canonical,2026-06-23T12:50:46.570Z
109,240/93/266,240/93/266,LETTER,240 93 266.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,0,,true,canonical,2026-06-23T12:50:46.633Z
110,240/93/2671,240/93/2671,LETTER,240 93 2671.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,5,,true,canonical,2026-06-23T12:50:46.729Z
111,240/93/2697,240/93/2697,LETTER,240 93 2697.docx,,IMPORTED,,false,5,0,,true,canonical,2026-06-23T12:50:46.786Z
112,240/93/2707,240/93/2707,LETTER,240 93 2707.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,0,,true,canonical,2026-06-23T12:50:46.848Z
113,240/93/2738,240/93/2738,LETTER,240 93 2738.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,0,,true,canonical,2026-06-23T12:50:46.937Z
275,240/93/2738,240/93/2738,APPENDIX,240 93 2738 приложение ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/2738,true,canonical,2026-06-23T12:51:00.564Z
114,240/93/2740,240/93/2740,LETTER,240 93 2740.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,13,12,,true,canonical,2026-06-23T12:50:47.033Z
115,240/93/2766,240/93/2766,LETTER,240 93 2766.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,10,8,,true,canonical,2026-06-23T12:50:47.117Z
117,240/93/2855,240/93/2855,LETTER,240 93 2855.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,20,1,,true,canonical,2026-06-23T12:50:47.257Z
118,240/93/2856,240/93/2856,LETTER,240 93 2856.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,1,1,,true,canonical,2026-06-23T12:50:47.366Z
120,240/93/2884,240/93/2884,LETTER,240 93 2884.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,20,0,,true,canonical,2026-06-23T12:50:47.539Z
276,240/93/2884,240/93/2884,APPENDIX,Приложение — ДЦОД-З.docx,,IMPORTED,,false,1,0,240/93/2884,true,canonical,2026-06-23T12:51:00.608Z
121,240/93/2953,240/93/2953,LETTER,240 93 2953.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,26,3,,true,canonical,2026-06-23T12:50:47.636Z
277,240/93/2953,240/93/2953,APPENDIX,Приложение 240 93 2953 ДКИТИ.docx,,IMPORTED,,false,1,0,240/93/2953,true,canonical,2026-06-23T12:51:00.654Z
122,240/93/2954,240/93/2954,LETTER,240 93 2954.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,6,,true,canonical,2026-06-23T12:50:47.756Z
123,240/93/2993,240/93/2993,LETTER,240 93 2993.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,15,13,,true,canonical,2026-06-23T12:50:47.813Z
124,240/93/3014,240/93/3014,LETTER,240 93 3014.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,2,2,,true,canonical,2026-06-23T12:50:47.906Z
125,240/93/3072,240/93/3072,LETTER,240 93 3072.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,0,,true,canonical,2026-06-23T12:50:47.952Z
278,240/93/3072,240/93/3072,APPENDIX,Приложение 240 93 3072 ДКИТИ.docx,,IMPORTED,,false,1,0,240/93/3072,true,canonical,2026-06-23T12:51:00.701Z
126,240/93/3111,240/93/3111,LETTER,240 93 3111.docx,О мерах по повышению защищенности информационной инфраструктуры,PARSED,,true,0,0,,true,routing_letter,2026-06-23T12:50:48.048Z
279,240/93/3111,240/93/3111,APPENDIX,Приложение 240 93 3111.docx,,IMPORTED,,false,16,0,240/93/3111,true,canonical,2026-06-23T12:51:00.749Z
127,240/93/3143,240/93/3143,LETTER,240 93 3143.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,19,0,,true,canonical,2026-06-23T12:50:48.084Z
280,240/93/3143,240/93/3143,APPENDIX,Приложение 240 93 3143 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/3143,true,canonical,2026-06-23T12:51:00.849Z
128,240/93/3144,240/93/3144,LETTER,240 93 3144.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,7,,true,canonical,2026-06-23T12:50:48.186Z
129,240/93/3195,240/93/3195,LETTER,240 93 3195.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,11,0,,true,canonical,2026-06-23T12:50:48.252Z
281,240/93/3195,240/93/3195,APPENDIX,Приложение 240 93 3195.docx,,IMPORTED,,false,1,0,240/93/3195,true,canonical,2026-06-23T12:51:00.900Z
130,240/93/3196,240/93/3196,LETTER,240 93 3196.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,7,6,,true,canonical,2026-06-23T12:50:48.322Z
131,240/93/3229,240/93/3229,LETTER,240 93 3229.docx,О мерах по повышению защищенности информационной инфраструктуры,PARSED,,true,0,0,,true,routing_letter,2026-06-23T12:50:48.382Z
282,240/93/3229,240/93/3229,APPENDIX,Приложение 240 93 3229.docx,,IMPORTED,,false,41,0,240/93/3229,true,canonical,2026-06-23T12:51:00.949Z
132,240/93/3278,240/93/3278,LETTER,240 93 3278.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,22,0,,true,canonical,2026-06-23T12:50:48.416Z
283,240/93/3278,240/93/3278,APPENDIX,Приложение 240 93 3278 Обласов В.В..docx,,IMPORTED,,false,1,0,240/93/3278,true,canonical,2026-06-23T12:51:01.117Z
133,240/93/3289,240/93/3289,LETTER,240 93 3289.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,1,1,,true,canonical,2026-06-23T12:50:48.527Z
134,240/93/3299,240/93/3299,LETTER,240 93 3299.docx,,IMPORTED,,false,76,39,,true,canonical,2026-06-23T12:50:48.578Z
135,240/93/3300,240/93/3300,LETTER,240 93 3300.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,20,0,,true,canonical,2026-06-23T12:50:48.870Z
284,240/93/3300,240/93/3300,APPENDIX,Приложение 240 93 3300 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/3300,true,canonical,2026-06-23T12:51:01.165Z
136,240/93/3338,240/93/3338,LETTER,240 93 3338.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,13,0,,true,canonical,2026-06-23T12:50:48.981Z
137,240/93/3357,240/93/3357,LETTER,240 93 3357.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,18,,true,canonical,2026-06-23T12:50:49.056Z
138,240/93/3409,240/93/3409,LETTER,240 93 3409.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,0,,true,canonical,2026-06-23T12:50:49.149Z
285,240/93/3409,240/93/3409,APPENDIX,Приложение к рассылке 240 93 3409 ДКИТИ.docx,,IMPORTED,,false,1,0,240/93/3409,true,canonical,2026-06-23T12:51:01.207Z
139,240/93/3410,240/93/3410,LETTER,240 93 3410.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,17,,true,canonical,2026-06-23T12:50:49.240Z
140,240/93/3478,240/93/3478,LETTER,240 93 3478.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,19,0,,true,canonical,2026-06-23T12:50:49.335Z
286,240/93/3478,240/93/3478,APPENDIX,Приложение 240 93 3478 ДКИТИ.docx,,IMPORTED,,false,1,0,240/93/3478,true,canonical,2026-06-23T12:51:01.254Z
141,240/93/3481,240/93/3481,LETTER,240 93 3481.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,7,7,,true,canonical,2026-06-23T12:50:49.430Z
142,240/93/35,240/93/35,LETTER,240 93 35.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,9,0,,true,canonical,2026-06-23T12:50:49.493Z
143,240/93/3565,240/93/3565,LETTER,240 93 3565.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,55,55,,true,canonical,2026-06-23T12:50:49.557Z
144,240/93/3578,240/93/3578,LETTER,240 93 3578.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,23,0,,true,canonical,2026-06-23T12:50:49.765Z
145,240/93/36,240/93/36,LETTER,240 93 36.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,2,2,,true,canonical,2026-06-23T12:50:49.880Z
146,240/93/3604,240/93/3604,LETTER,240 93 3604.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,9,0,,true,canonical,2026-06-23T12:50:49.925Z
147,240/93/3614,240/93/3614,LETTER,240 93 3614.docx,,IMPORTED,,false,1,1,,true,canonical,2026-06-23T12:50:49.995Z
148,240/93/3697,240/93/3697,LETTER,240 93 3697.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,14,0,,true,canonical,2026-06-23T12:50:50.035Z
287,240/93/3697,240/93/3697,APPENDIX,Приложение к 240 93 3697 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/3697,true,canonical,2026-06-23T12:51:01.299Z
149,240/93/3774,240/93/3774,LETTER,240 93 3774.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,11,11,,true,canonical,2026-06-23T12:50:50.125Z
150,240/93/3866,240/93/3866,LETTER,240 93 3866.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,0,,true,canonical,2026-06-23T12:50:50.211Z
288,240/93/3866,240/93/3866,APPENDIX,Приложение к 240 93 3866 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/3866,true,canonical,2026-06-23T12:51:01.342Z
151,240/93/3920,240/93/3920,LETTER,240 93 3920.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,10,0,,true,canonical,2026-06-23T12:50:50.305Z
289,240/93/3920,240/93/3920,APPENDIX,Приложение 240 93 3920.docx,,FAILED,NO_ITEMS_FOUND,false,0,0,240/93/3920,true,real_failure,2026-06-23T12:51:01.384Z
152,240/93/3921,240/93/3921,LETTER,240 93 3921.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,8,,true,canonical,2026-06-23T12:50:50.382Z
153,240/93/398,240/93/398,LETTER,240 93 398.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,3,3,,true,canonical,2026-06-23T12:50:50.457Z
154,240/93/401,240/93/401,LETTER,240 93 401.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,14,0,,true,canonical,2026-06-23T12:50:50.508Z
290,240/93/401,240/93/401,APPENDIX,Приложение (от 240 93 401).docx,,IMPORTED,,false,1,0,240/93/401,true,canonical,2026-06-23T12:51:01.421Z
155,240/93/4036,240/93/4036,LETTER,240 93 4036.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,20,0,,true,canonical,2026-06-23T12:50:50.596Z
291,240/93/4036,240/93/4036,APPENDIX,Приложение 240 93 4036 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/4036,true,canonical,2026-06-23T12:51:01.469Z
156,240/93/4104,240/93/4104,LETTER,240 93 4104.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,5,,true,canonical,2026-06-23T12:50:50.707Z
157,240/93/4164,240/93/4164,LETTER,240 93 4164.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,0,,true,canonical,2026-06-23T12:50:50.761Z
292,240/93/4164,240/93/4164,APPENDIX,Приложение 240 93 4164 — ДИТСБ-П.docx,,IMPORTED,,false,1,0,240/93/4164,true,canonical,2026-06-23T12:51:01.514Z
158,240/93/4165,240/93/4165,LETTER,240 93 4165.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,5,,true,canonical,2026-06-23T12:50:50.864Z
159,240/93/4255,240/93/4255,LETTER,240 93 4255.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,6,,true,canonical,2026-06-23T12:50:50.921Z
160,240/93/4257,240/93/4257,LETTER,240 93 4257.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,2,,true,canonical,2026-06-23T12:50:50.978Z
161,240/93/4314,240/93/4314,LETTER,240 93 4314.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,12,2,,true,canonical,2026-06-23T12:50:51.082Z
293,240/93/4314,240/93/4314,APPENDIX,Приложение к 240 93 4314 ДКИТИ.docx,,FAILED,NO_ITEMS_FOUND,false,0,0,240/93/4314,true,real_failure,2026-06-23T12:51:01.557Z
162,240/93/4484,240/93/4484,LETTER,240 93 4484.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,2,2,,true,canonical,2026-06-23T12:50:51.166Z
163,240/93/4529,240/93/4529,LETTER,240 93 4529.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,14,0,,true,canonical,2026-06-23T12:50:51.209Z
164,240/93/4539,240/93/4539,LETTER,240 93 4539.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,1,0,,true,canonical,2026-06-23T12:50:51.296Z
294,240/93/4539,240/93/4539,APPENDIX,Приложение к 240 93 4539.docx,,IMPORTED,,false,3,0,240/93/4539,true,canonical,2026-06-23T12:51:01.590Z
165,240/93/4607,240/93/4607,LETTER,240 93 4607.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,6,,true,canonical,2026-06-23T12:50:51.338Z
167,240/93/4643,240/93/4643,LETTER,240 93 4643.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,22,1,,true,canonical,2026-06-23T12:50:51.489Z
